##fileformat=VCFv4.2
##FILTER=<ID=PASS,Description="All filters passed">
##ALT=<ID=INV,Description="Inversion">
##FILTER=<ID=ASSEMBLY_ONLY,Description="Variant is supported only by assembly evidence.">
##FILTER=<ID=ASSEMBLY_TOO_FEW_READ,Description="Not enough reads contribute to this assembly as specified by 'assembly.minReads'">
##FILTER=<ID=ASSEMBLY_TOO_SHORT,Description="This assembly is shorter than a read length">
##FILTER=<ID=LOW_BREAKPOINT_SUPPORT,Description="Does not reach the required threshold quality for calling as specified by 'variantcalling.minScore'">
##FILTER=<ID=LOW_QUAL,Description="Low quality call as specified by 'variantcalling.lowQuality'">
##FILTER=<ID=NO_ASSEMBLY,Description="No assembly supporting this variant could be found.">
##FILTER=<ID=REF,Description="Breakpoint corresponds to reference allele">
##FILTER=<ID=SINGLE_ASSEMBLY,Description="Only one side of the breakpoint could be assembled.">
##FILTER=<ID=SINGLE_SUPPORT,Description="Supported by a single read or read pair only.">
##FILTER=<ID=SMALL_EVENT,Description="Event size is smaller than the minimum reportable size specified by 'variantcalling.minSize'">
##FORMAT=<ID=ASQ,Number=1,Type=Float,Description="Pro-rata quality score contribution of assemblies supporting breakpoint">
##FORMAT=<ID=ASRP,Number=1,Type=Integer,Description="Count of read pairs incorporated into any breakpoint assembly">
##FORMAT=<ID=ASSR,Number=1,Type=Integer,Description="Count of split, soft clipped or indel-containing reads incorporated into any breakpoint assemblies">
##FORMAT=<ID=BAQ,Number=1,Type=Float,Description="Pro-rata quality score contribution of assemblies supporting just local breakend">
##FORMAT=<ID=BQ,Number=1,Type=Float,Description="Quality score of breakend evidence after evidence reallocation">
##FORMAT=<ID=BSC,Number=1,Type=Integer,Description="Count of soft clips supporting just local breakend per category">
##FORMAT=<ID=BSCQ,Number=1,Type=Float,Description="Quality score of soft clips supporting just local breakend per category">
##FORMAT=<ID=BUM,Number=1,Type=Integer,Description="Count of read pairs (with one read unmapped) supporting just local breakend per category">
##FORMAT=<ID=BUMQ,Number=1,Type=Float,Description="Quality score of read pairs (with one read unmapped) supporting just local breakend per category">
##FORMAT=<ID=CASQ,Number=1,Type=Float,Description="Pro-rata quality score of complex compound breakpoint assemblies supporting breakpoint from elsewhere">
##FORMAT=<ID=GT,Number=1,Type=String,Description="Genotype">
##FORMAT=<ID=IC,Number=1,Type=Integer,Description="Count of read indels supporting breakpoint per category">
##FORMAT=<ID=IQ,Number=1,Type=Float,Description="Quality score of read indels supporting breakpoint per category">
##FORMAT=<ID=QUAL,Number=1,Type=Float,Description="Quality score of breakend evidence after evidence reallocation">
##FORMAT=<ID=RASQ,Number=1,Type=Float,Description="Pro-rata quality score contribution of assemblies supporting breakpoint from remote breakend">
##FORMAT=<ID=REF,Number=1,Type=Integer,Description="Count of reads mapping across this breakend">
##FORMAT=<ID=REFPAIR,Number=1,Type=Integer,Description="Count of reference read pairs spanning this breakpoint supporting the reference allele">
##FORMAT=<ID=RP,Number=1,Type=Integer,Description="Count of read pairs supporting breakpoint per category">
##FORMAT=<ID=RPQ,Number=1,Type=Float,Description="Quality score of read pairs supporting breakpoint per category">
##FORMAT=<ID=SR,Number=1,Type=Integer,Description="Count of split reads supporting breakpoint per category">
##FORMAT=<ID=SRQ,Number=1,Type=Float,Description="Quality score of split reads supporting breakpoint per category">
##INFO=<ID=AS,Number=1,Type=Integer,Description="Count of assemblies supporting breakpoint">
##INFO=<ID=ASQ,Number=1,Type=Float,Description="Quality score of assemblies supporting breakpoint">
##INFO=<ID=ASRP,Number=1,Type=Integer,Description="Count of read pairs incorporated into any breakpoint assembly">
##INFO=<ID=ASSR,Number=1,Type=Integer,Description="Count of split, soft clipped or indel-containing reads incorporated into any breakpoint assemblies">
##INFO=<ID=BA,Number=1,Type=Integer,Description="Count of assemblies supporting just local breakend">
##INFO=<ID=BAQ,Number=1,Type=Float,Description="Quality score of assemblies supporting just local breakend">
##INFO=<ID=BEID,Number=.,Type=String,Description="Breakend assemblies contributing support to the breakpoint.">
##INFO=<ID=BQ,Number=1,Type=Float,Description="Quality score of breakend evidence">
##INFO=<ID=BSC,Number=1,Type=Integer,Description="Count of soft clips supporting just local breakend">
##INFO=<ID=BSCQ,Number=1,Type=Float,Description="Quality score of soft clips supporting just local breakend">
##INFO=<ID=BUM,Number=1,Type=Integer,Description="Count of read pairs (with one read unmapped) supporting just local breakend">
##INFO=<ID=BUMQ,Number=1,Type=Float,Description="Quality score of read pairs (with one read unmapped) supporting just local breakend">
##INFO=<ID=CAS,Number=1,Type=Integer,Description="Count of complex compound breakpoint assemblies supporting breakpoint from elsewhere">
##INFO=<ID=CASQ,Number=1,Type=Float,Description="Quality score of complex compound breakpoint assemblies supporting breakpoint from elsewhere">
##INFO=<ID=CIEND,Number=2,Type=Integer,Description="Confidence interval around END for imprecise variants">
##INFO=<ID=CIPOS,Number=2,Type=Integer,Description="Confidence interval around POS for imprecise variants">
##INFO=<ID=CIRPOS,Number=2,Type=Integer,Description="Confidence interval around remote breakend POS for imprecise variants">
##INFO=<ID=CQ,Number=1,Type=Float,Description="Breakpoint quality score before evidence reallocation">
##INFO=<ID=END,Number=1,Type=Integer,Description="Stop position of the interval">
##INFO=<ID=EVENT,Number=1,Type=String,Description="ID of event associated to breakend">
##INFO=<ID=HOMLEN,Number=.,Type=Integer,Description="Length of base pair identical micro-homology at event breakpoints">
##INFO=<ID=HOMSEQ,Number=.,Type=String,Description="Sequence of base pair identical micro-homology at event breakpoints">
##INFO=<ID=IC,Number=1,Type=Integer,Description="Count of read indels supporting breakpoint">
##INFO=<ID=IHOMPOS,Number=2,Type=Integer,Description="Position of inexact homology">
##INFO=<ID=IMPRECISE,Number=0,Type=Flag,Description="Imprecise structural variation">
##INFO=<ID=IQ,Number=1,Type=Float,Description="Quality score of read indels supporting breakpoint">
##INFO=<ID=PARID,Number=1,Type=String,Description="ID of partner breakend">
##INFO=<ID=RAS,Number=1,Type=Integer,Description="Count of assemblies supporting breakpoint from remote breakend">
##INFO=<ID=RASQ,Number=1,Type=Float,Description="Quality score of assemblies supporting breakpoint from remote breakend">
##INFO=<ID=REF,Number=1,Type=Integer,Description="Count of reads mapping across this breakend">
##INFO=<ID=REFPAIR,Number=1,Type=Integer,Description="Count of reference read pairs spanning this breakpoint supporting the reference allele">
##INFO=<ID=RP,Number=1,Type=Integer,Description="Count of read pairs supporting breakpoint">
##INFO=<ID=RPQ,Number=1,Type=Float,Description="Quality score of read pairs supporting breakpoint">
##INFO=<ID=RSI,Number=.,Type=Integer,Description="Support interval offsets of partner breakend.">
##INFO=<ID=SC,Number=1,Type=String,Description="CIGAR for displaying anchoring alignment of any contributing evidence and microhomologies.">
##INFO=<ID=SELF,Number=0,Type=Flag,Description="Indicates a breakpoint is self-intersecting">
##INFO=<ID=SI,Number=.,Type=Integer,Description="Support interval offsets from breakend position in which at least one supporting read/read pair/assembly is mapped.">
##INFO=<ID=SR,Number=1,Type=Integer,Description="Count of split reads supporting breakpoint">
##INFO=<ID=SRQ,Number=1,Type=Float,Description="Quality score of split reads supporting breakpoint">
##INFO=<ID=SVLEN,Number=.,Type=Integer,Description="Difference in length between REF and ALT alleles">
##INFO=<ID=SVTYPE,Number=1,Type=String,Description="Type of structural variant">
##contig=<ID=1,length=249250621>
##contig=<ID=2,length=243199373>
##contig=<ID=3,length=198022430>
##contig=<ID=4,length=191154276>
##contig=<ID=5,length=180915260>
##contig=<ID=6,length=171115067>
##contig=<ID=7,length=159138663>
##contig=<ID=8,length=146364022>
##contig=<ID=9,length=141213431>
##contig=<ID=10,length=135534747>
##contig=<ID=11,length=135006516>
##contig=<ID=12,length=133851895>
##contig=<ID=13,length=115169878>
##contig=<ID=14,length=107349540>
##contig=<ID=15,length=102531392>
##contig=<ID=16,length=90354753>
##contig=<ID=17,length=81195210>
##contig=<ID=18,length=78077248>
##contig=<ID=19,length=59128983>
##contig=<ID=20,length=63025520>
##contig=<ID=21,length=48129895>
##contig=<ID=22,length=51304566>
##contig=<ID=X,length=155270560>
##contig=<ID=Y,length=59373566>
##contig=<ID=MT,length=16569>
#CHROM	POS	ID	REF	ALT	QUAL	FILTER	INFO	FORMAT	D_NA12878.bam

1	91853284	gridss9_17360o	G	G[8:70602055[	14467.5	SINGLE_ASSEMBLY	AS=0;ASQ=0;ASRP=989;ASSR=0;BA=0;BAQ=0;BEID=asm150-70878;BQ=0;BSC=0;BSCQ=0;BUM=0;BUMQ=0;CAS=0;CASQ=0;CIPOS=-135,135;CIRPOS=-231,231;CQ=14467.5;EVENT=gridss9_17360;IC=0;IMPRECISE;IQ=0;PARID=gridss9_17360h;RAS=1;RASQ=8228.29;REF=32;REFPAIR=7;RP=751;RPQ=6239.23;SC=366M1X269N1X;SR=0;SRQ=0;SVTYPE=BND	GT:ASQ:ASRP:ASSR:BAQ:BQ:BSC:BSCQ:BUM:BUMQ:CASQ:IC:IQ:QUAL:RASQ:REF:REFPAIR:RP:RPQ:SR:SRQ	.:0:989:0:0:0:0:0:0:0:0:0:0:14467.5:8228.29:32:7:751:6239.23:0:0

2	133016252	gridss38_52571o	C	[7:4850900[C	3421.56	SINGLE_ASSEMBLY	AS=0;ASQ=0;ASRP=186;ASSR=0;BA=1;BAQ=36211.3;BEID=asm127-124741;BQ=84033;BSC=72;BSCQ=1252.14;BUM=2407;BUMQ=46569.5;CAS=0;CASQ=0;CIPOS=-78,78;CIRPOS=-257,258;CQ=3421.56;EVENT=gridss38_52571;IC=0;IMPRECISE;IQ=0;PARID=gridss38_52571h;RAS=1;RASQ=2640.62;REF=146;REFPAIR=315;RP=94;RPQ=780.94;SC=1X155N1X320M83D151M;SR=0;SRQ=0;SVTYPE=BND	GT:ASQ:ASRP:ASSR:BAQ:BQ:BSC:BSCQ:BUM:BUMQ:CASQ:IC:IQ:QUAL:RASQ:REF:REFPAIR:RP:RPQ:SR:SRQ	.:0:186:0:36211.3:84033:72:1252.14:2407:46569.5:0:0:0:3421.56:2640.62:146:315:94:780.94:0:0

2	133019621	gridss38_52929o	A	[17:45234113[A	581.55	SINGLE_ASSEMBLY	AS=0;ASQ=0;ASRP=53;ASSR=0;BA=0;BAQ=0;BEID=asm263-126275;BQ=14.2;BSC=1;BSCQ=14.2;BUM=0;BUMQ=0;CAS=0;CASQ=0;CIPOS=-70,70;CIRPOS=-165,166;CQ=581.55;EVENT=gridss38_52929;IC=0;IMPRECISE;IQ=0;PARID=gridss38_52929h;RAS=1;RASQ=548.32;REF=3162;REFPAIR=2663;RP=4;RPQ=33.23;SC=1X139N1X647M;SR=0;SRQ=0;SVTYPE=BND	GT:ASQ:ASRP:ASSR:BAQ:BQ:BSC:BSCQ:BUM:BUMQ:CASQ:IC:IQ:QUAL:RASQ:REF:REFPAIR:RP:RPQ:SR:SRQ	.:0:53:0:0:14.2:1:14.2:0:0:0:0:0:581.55:548.32:3162:2663:4:33.23:0:0

2	133029680	gridss38_21801o	G	G[21:33017631[	8206.93	SINGLE_ASSEMBLY	AS=0;ASQ=0;ASRP=446;ASSR=0;BA=9;BAQ=1896.98;BEID=asm292-94980,asm292-95007;BQ=3701.58;BSC=104;BSCQ=1804.6;BUM=0;BUMQ=0;CAS=0;CASQ=0;CIPOS=-260,261;CIRPOS=-307,308;CQ=8206.93;EVENT=gridss38_21801;IC=0;IMPRECISE;IQ=0;PARID=gridss38_21801h;RAS=2;RASQ=8206.93;REF=98;REFPAIR=958;RP=0;RPQ=0;SC=23M2D87M11D84M1X520N1X;SR=0;SRQ=0;SVTYPE=BND	GT:ASQ:ASRP:ASSR:BAQ:BQ:BSC:BSCQ:BUM:BUMQ:CASQ:IC:IQ:QUAL:RASQ:REF:REFPAIR:RP:RPQ:SR:SRQ	.:0:446:0:1896.98:3701.58:104:1804.6:0:0:0:0:0:8206.93:8206.93:98:958:0:0:0:0

2	133034985	gridss38_5452o	C	C]10:35310966]	5769.43	SINGLE_ASSEMBLY	AS=0;ASQ=0;ASRP=8;ASSR=0;BA=0;BAQ=0;BEID=asm176-38416;BQ=0;BSC=0;BSCQ=0;BUM=0;BUMQ=0;CAS=0;CASQ=0;CIPOS=0,1;CIRPOS=-227,228;CQ=5769.43;EVENT=gridss38_5452;IC=0;IMPRECISE;IQ=0;PARID=gridss38_5452h;RAS=1;RASQ=86.83;REF=2118;REFPAIR=3461;RP=684;RPQ=5682.6;SC=764M2X;SR=0;SRQ=0;SVTYPE=BND	GT:ASQ:ASRP:ASSR:BAQ:BQ:BSC:BSCQ:BUM:BUMQ:CASQ:IC:IQ:QUAL:RASQ:REF:REFPAIR:RP:RPQ:SR:SRQ	.:0:8:0:0:0:0:0:0:0:0:0:0:5769.43:86.83:2118:3461:684:5682.6:0:0

2	152384506	gridss40_45695o	C	[6:145034636[C	549.62	SINGLE_ASSEMBLY	AS=1;ASQ=533;ASRP=41;ASSR=0;BA=1;BAQ=54787.4;BEID=asm40-82959;BQ=110951;BSC=1970;BSCQ=40617.5;BUM=742;BUMQ=15546.1;CAS=0;CASQ=0;CIPOS=-293,294;CIRPOS=-293,294;CQ=549.62;EVENT=gridss40_45695;IC=0;IMPRECISE;IQ=0;PARID=gridss40_45695h;RAS=0;RASQ=0;REF=24;REFPAIR=9;RP=2;RPQ=16.62;SC=1X586N1X27M;SR=0;SRQ=0;SVTYPE=BND	GT:ASQ:ASRP:ASSR:BAQ:BQ:BSC:BSCQ:BUM:BUMQ:CASQ:IC:IQ:QUAL:RASQ:REF:REFPAIR:RP:RPQ:SR:SRQ	.:533:41:0:54787.4:110951:1970:40617.5:742:15546.1:0:0:0:549.62:0:24:9:2:16.62:0:0

3	116818750	gridss61_22948o	G	G[14:88237313[	818.71	SINGLE_ASSEMBLY	AS=1;ASQ=785.48;ASRP=44;ASSR=0;BA=1;BAQ=276.66;BEID=asm61-45495;BQ=1581;BSC=8;BSCQ=146.36;BUM=56;BUMQ=1157.99;CAS=0;CASQ=0;CIPOS=-277,278;CIRPOS=-255,256;CQ=818.71;EVENT=gridss61_22948;IC=0;IMPRECISE;IQ=0;PARID=gridss61_22948h;RAS=0;RASQ=0;REF=26;REFPAIR=4;RP=4;RPQ=33.23;SC=58M1D130M2D1X554N1X;SR=0;SRQ=0;SVTYPE=BND	GT:ASQ:ASRP:ASSR:BAQ:BQ:BSC:BSCQ:BUM:BUMQ:CASQ:IC:IQ:QUAL:RASQ:REF:REFPAIR:RP:RPQ:SR:SRQ	.:785.48:44:0:276.66:1581:8:146.36:56:1157.99:0:0:0:818.71:0:26:4:4:33.23:0:0

5	146587228	gridss104_41053o	A	[6:42229909[A	828.14	SINGLE_ASSEMBLY	AS=1;ASQ=786.6;ASRP=67;ASSR=0;BA=1;BAQ=1716;BEID=asm104-117626;BQ=2636.16;BSC=2;BSCQ=31.2;BUM=69;BUMQ=888.96;CAS=0;CASQ=0;CIPOS=-268,269;CIRPOS=-264,264;CQ=828.14;EVENT=gridss104_41053;IC=0;IMPRECISE;IQ=0;PARID=gridss104_41053h;RAS=0;RASQ=0;REF=37;REFPAIR=7;RP=5;RPQ=41.54;SC=1X536N1X153M;SR=0;SRQ=0;SVTYPE=BND	GT:ASQ:ASRP:ASSR:BAQ:BQ:BSC:BSCQ:BUM:BUMQ:CASQ:IC:IQ:QUAL:RASQ:REF:REFPAIR:RP:RPQ:SR:SRQ	.:786.6:67:0:1716:2636.16:2:31.2:69:888.96:0:0:0:828.14:0:37:7:5:41.54:0:0

6	42229909	gridss104_41053h	G	[5:146587228[G	828.14	SINGLE_ASSEMBLY	AS=0;ASQ=0;ASRP=67;ASSR=0;BA=0;BAQ=0;BEID=asm104-117626;BQ=57.12;BSC=3;BSCQ=57.12;BUM=0;BUMQ=0;CAS=0;CASQ=0;CIPOS=-264,264;CIRPOS=-268,269;CQ=828.14;EVENT=gridss104_41053;IC=0;IMPRECISE;IQ=0;PARID=gridss104_41053o;RAS=1;RASQ=786.6;REF=30;REFPAIR=9;RP=5;RPQ=41.54;SC=1X527N1X168M;SR=0;SRQ=0;SVTYPE=BND	GT:ASQ:ASRP:ASSR:BAQ:BQ:BSC:BSCQ:BUM:BUMQ:CASQ:IC:IQ:QUAL:RASQ:REF:REFPAIR:RP:RPQ:SR:SRQ	.:0:67:0:0:57.12:3:57.12:0:0:0:0:0:828.14:786.6:30:9:5:41.54:0:0

